book,chapter,token_count
1 Samuel,29,1029
1 Samuel,30,2087
1 Samuel,31,827
2 Samuel,1,1714
2 Samuel,2,2225
2 Samuel,3,2833
2 Samuel,4,1049
2 Samuel,5,1612
2 Samuel,6,1514
2 Samuel,7,1884
2 Samuel,8,1079
2 Samuel,9,939
2 Samuel,10,1354
2 Samuel,11,1887
2 Samuel,12,2331
2 Samuel,13,2742
2 Samuel,14,2573
2 Samuel,15,2707
2 Samuel,16,1748
2 Samuel,17,2222
2 Samuel,18,2639
2 Samuel,19,3509
2 Samuel,20,2023
2 Samuel,21,1865
2 Samuel,22,2260
2 Samuel,23,2200
2 Samuel,24,1975
James,1,1319
James,2,1382
James,3,933
James,4,1007
James,5,1128
Ephesians,1,1189
Ephesians,2,1194
Ephesians,3,1055
Ephesians,4,1552
Ephesians,5,1437
Ephesians,6,1122
Joshua,1,1350
Joshua,2,1714
Joshua,3,1231
Joshua,4,1505
Joshua,5,1171
Joshua,6,1895
Joshua,7,2306
Joshua,8,2431
Joshua,9,1864
Joshua,10,3142
Joshua,11,1617
Joshua,12,1113
Joshua,13,2051
Joshua,14,1131
Joshua,15,2392
Joshua,16,558
Joshua,17,1589
Joshua,18,1674
Joshua,19,2246
Joshua,20,678
Joshua,21,2416
Joshua,22,3049
Joshua,23,1371
Joshua,24,2707
1 Kings,1,3427
1 Kings,2,3486
1 Kings,3,1802
1 Kings,4,1793
1 Kings,5,1251
1 Kings,6,2135
1 Kings,7,3356
1 Kings,8,4685
1 Kings,9,1824
1 Kings,10,1853
1 Kings,11,2961
1 Kings,12,2450
1 Kings,13,2408
1 Kings,14,2122
1 Kings,15,2040
1 Kings,16,2272
1 Kings,17,1431
1 Kings,18,3130
1 Kings,19,1670
1 Kings,20,3305
1 Kings,21,2056
1 Kings,22,3620
2 Kings,1,1518
2 Kings,2,2048
2 Kings,3,1850
2 Kings,4,3018
2 Kings,5,2277
2 Kings,6,2317
2 Kings,7,1802
2 Kings,8,2150
2 Kings,9,2801
2 Kings,10,2769
2 Kings,11,1373
2 Kings,12,1385
2 Kings,13,1751
2 Kings,14,1993
2 Kings,15,2293
2 Kings,16,1407
2 Kings,17,2912
2 Kings,18,2866
2 Kings,19,2620
2 Kings,20,1493
2 Kings,21,1624
2 Kings,22,1448
2 Kings,23,3051
2 Kings,24,1296
2 Kings,25,2028
Jeremiah,1,1183
Jeremiah,2,2803
Jeremiah,3,2074
Jeremiah,4,2103
Jeremiah,5,2122
Jeremiah,6,2024
Jeremiah,7,2309
Jeremiah,8,1681
Jeremiah,9,1909
Jeremiah,10,1551
